Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Jerry Fitschen,jerry-fitschen-1,/cfb/players/jerry-fitschen-1.html,Akron,MAC,6,3,93,31.0,,2020
Jack Plummer,jack-plummer-1,/cfb/players/jack-plummer-1.html,Purdue,Big Ten,3,2,61,30.5,,2020
Will Hart,will-hart-2,/cfb/players/will-hart-2.html,Michigan,Big Ten,5,5,151,30.2,,2020
Zac Thomas,zac-thomas-2,/cfb/players/zac-thomas-2.html,Appalachian State,Sun Belt,12,1,30,30.0,,2020
George Holani,george-holani-1,/cfb/players/george-holani-1.html,Boise State,MWC,4,1,29,29.0,,2020
Tanner Morgan,tanner-morgan-2,/cfb/players/tanner-morgan-2.html,Minnesota,Big Ten,7,2,56,28.0,,2020
Mason Lawler,mason-lawler-1,/cfb/players/mason-lawler-1.html,Bowling Green,MAC,3,3,79,26.3,,2020
Cornelious Brown,cornelious-brown-1,/cfb/players/cornelious-brown-1.html,Georgia State,Sun Belt,10,1,24,24.0,,2020
Keola Downing,keola-downing-1,/cfb/players/keola-downing-1.html,Boise State,MWC,1,1,23,23.0,,2020
Chance Nolan,chance-nolan-1,/cfb/players/chance-nolan-1.html,Oregon State,Pac-12,4,1,22,22.0,,2020
League Average,,,,,,,,42.2,,2020
