recruit_index,recruit_id,recruit_name,recruit_year,committed_to,mapped_team,filled_athlete_id,matched_history_name,history_season_start,name_score,match_score
1826,140141,Jay Bowdry,2015,Georgia Southern,Georgia Southern,3917204,Jay Bowdry,2016,1.0,1.0
1827,140142,Dominic DeLira,2015,Iowa State,Iowa State,-1014654,Dominic De Lira,2015,0.9655,0.9224
1829,140143,Zamore Zigler,2015,San José State,San José State,3921695,Zamore Zigler,2016,1.0,1.0
1831,140148,Marcus Kelly,2015,Northern Illinois,Northern Illinois,3921974,Marcus Kelly,2016,1.0,1.0
1834,140149,Garrett Larson,2015,Boise State,Boise State,3722374,Garrett Larson,2016,1.0,1.0
1840,140156,Myles Rice,2015,Washington,Washington,3886829,Myles Rice,2017,1.0,0.95
1841,140155,Chance Thrasher,2015,Coastal Carolina,Coastal Carolina,4030387,Chance Thrasher,2017,1.0,0.95
1844,140159,Chris Biggurs,2015,SMU,SMU,3916231,Chris Biggurs,2016,1.0,1.0
1845,140161,Beau Hott,2015,New Mexico,New Mexico,3917113,Beau Hott,2016,1.0,1.0
1846,140162,Reakwon Jones,2015,Indiana,Indiana,3929782,Reakwon Jones,2016,1.0,1.0
1857,140172,Tae Crowder,2015,Georgia,Georgia,3915171,Tae Crowder,2016,1.0,1.0
1860,140178,Trevis Gipson,2015,Tulsa,Tulsa,3917016,Trevis Gipson,2016,1.0,1.0
1872,140187,Josh Love,2015,San José State,San José State,3921685,Josh Love,2016,1.0,1.0
1875,140189,Trequan Smith,2015,Northern Illinois,Northern Illinois,3921968,Trequan Smith,2016,1.0,1.0
