receiving_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,receiving_yards,receiving_yards_per_game,comp,att,pct,receiving_touchdowns,int,rate,games_played,year,category
68,Nico,Portillo,Nico Portillo,/ca/corcoran/corcoran-panthers/athletes/nico-portillo/football/stats/?careerid=cq8t4qc2jcgvf,cq8t4qc2jcgvf,"QB, CB",Corcoran,CA,3558,3558,254.1,262,406,0.645,32,10,108,14,2014,receiving
69,Travis,Sabdo,Travis Sabdo,/nc/havelock/havelock-rams/athletes/travis-sabdo/football/stats/?careerid=s8nkcao2uvp88,s8nkcao2uvp88,QB,Havelock,NC,3554,3554,222.1,222,335,0.663,43,7,132,16,2014,receiving
70,Christian,Hutzler,Christian Hutzler,/tx/addison/trinity-christian-trojans/athletes/christian-hutzler/football/stats/?careerid=t5p7rj8g0h3qa,t5p7rj8g0h3qa,QB,Trinity Christian,TX,3552,3552,355.2,251,364,0.69,35,11,120,10,2014,receiving
71,Zach,Taylor,Zach Taylor,/ca/buena-park/buena-park-coyotes/athletes/zach-taylor/football/stats/?careerid=0h63nndfoegbb,0h63nndfoegbb,QB,Buena Park,CA,3549,3549,273.0,195,294,0.663,34,8,135,13,2014,receiving
72,Gardner,Minshew,Gardner Minshew,/ms/brandon/brandon-bulldogs/athletes/gardner-minshew/football/stats/?careerid=4f5u3rucgal33,4f5u3rucgal33,QB,Brandon,MS,3541,3541,272.4,243,395,0.615,31,3,114,13,2014,receiving
73,Andrew,Tovar,Andrew Tovar,/ca/los-angeles/cathedral-phantoms/athletes/andrew-tovar/football/stats/?careerid=g7h6d0ongqndd,g7h6d0ongqndd,QB,Cathedral,CA,3530,3530,294.2,250,385,0.649,45,8,125,12,2014,receiving
74,Chaiten,Tomlin,Chaiten Tomlin,/oh/mt-orab/western-brown-broncos/athletes/chaiten-tomlin/football/stats/?careerid=39sdtn1euns00,39sdtn1euns00,,Western Brown,OH,3519,3519,319.9,243,349,0.696,42,10,130,11,2014,receiving
75,Austin,Skinner,Austin Skinner,/tx/teague/teague-lions/athletes/austin-skinner/football/stats/?careerid=91ui2h5pn5asc,91ui2h5pn5asc,QB,Teague,TX,3511,3511,292.6,208,316,0.658,49,8,132,12,2014,receiving
76,Kyle,Banks,Kyle Banks,/ga/dallas/north-paulding-wolfpack/athletes/kyle-banks/football/stats/?careerid=ormtcqqiod477,ormtcqqiod477,QB,North Paulding,GA,3498,3498,318.0,253,430,0.588,32,11,99,11,2014,receiving
77,Michael,Shuster,Michael Shuster,/pa/camp-hill/camp-hill-lions/athletes/michael-shuster/football/stats/?careerid=8i4mc60vmuik4,8i4mc60vmuik4,"QB, FS",Camp Hill,PA,3492,3492,268.6,216,352,0.614,42,11,121,13,2014,receiving
78,Kamden,Brown,Kamden Brown,/ca/covina/charter-oak-chargers/athletes/kamden-brown/football/stats/?careerid=puu7q9r2kjsee,puu7q9r2kjsee,QB,Charter Oak,CA,3484,3484,268.0,228,382,0.597,33,17,100,13,2014,receiving
79,Luis,Dorame,Luis Dorame,/ca/north-hills/monroe-vikings/athletes/luis-dorame/football/stats/?careerid=csqckhgjmaubb,csqckhgjmaubb,"QB, ATH",Monroe,CA,3482,3482,267.8,281,429,0.655,33,15,102,13,2014,receiving
80,Jake,Northern,Jake Northern,/ok/coweta/coweta-tigers/athletes/jake-northern/football/stats/?careerid=g58quapt4slh1,g58quapt4slh1,"QB, OLB",Coweta,OK,3473,3473,315.7,238,420,0.567,33,16,94,11,2014,receiving
81,Jake,Easter,Jake Easter,/nc/pfafftown/ronald-reagan-raiders/athletes/jake-easter/football/stats/?careerid=di25bofdc73ue,di25bofdc73ue,QB,Reagan,NC,3465,3465,266.5,256,395,0.648,42,9,119,13,2014,receiving
82,Kaegan,Jeffrey,Kaegan Jeffrey,/tx/sweetwater/sweetwater-mustangs/athletes/kaegan-jeffrey/football/stats/?careerid=5kqcegtfrke55,5kqcegtfrke55,QB,Sweetwater,TX,3451,3451,265.5,207,288,0.719,51,6,143,13,2014,receiving
83,Rj,Jacobs,Rj Jacobs,/oh/sugarcreek/garaway-pirates/athletes/rj-jacobs/football/stats/?careerid=2rus0s9e54188,2rus0s9e54188,QB,Garaway,OH,3442,3442,286.8,208,322,0.646,42,6,132,12,2014,receiving
84,Tyler,Sorensen,Tyler Sorensen,/nm/farmington/navajo-prep-eagles/athletes/tyler-sorensen/football/stats/?careerid=ofhjrsph7u099,ofhjrsph7u099,"QB, P",Navajo Prep,NM,3438,3438,312.5,281,431,0.652,30,11,102,11,2014,receiving
85,Shannon,Patrick,Shannon Patrick,/fl/wellington/wellington-wolverines/athletes/shannon-patrick/football/stats/?careerid=g183ftf2r94l5,g183ftf2r94l5,QB,Wellington,FL,3438,3438,245.6,211,375,0.563,49,12,113,14,2014,receiving
86,Justin,Houghtaling,Justin Houghtaling,/nm/artesia/artesia-bulldogs/athletes/justin-houghtaling/football/stats/?careerid=lrlkio6ln4scc,lrlkio6ln4scc,QB,Artesia,NM,3436,3436,264.3,229,384,0.596,38,8,113,13,2014,receiving
87,Karé,Lyles,Karé Lyles,/az/scottsdale/saguaro-sabercats/athletes/kar%C3%A9-lyles/football/stats/?careerid=4uga7orhnlg00,4uga7orhnlg00,QB,Saguaro,AZ,3420,3420,244.3,187,263,0.711,40,5,145,14,2014,receiving
88,Kyle,Castner,Kyle Castner,/in/indianapolis/ben-davis-giants/athletes/kyle-castner/football/stats/?careerid=o5hjbu7oc8388,o5hjbu7oc8388,QB,Ben Davis,IN,3410,3410,243.6,277,437,0.634,34,11,103,14,2014,receiving
89,William,Olvera,William Olvera,/ca/palm-springs/palm-springs-indians/athletes/william-olvera/football/stats/?careerid=cr550hmcf4aee,cr550hmcf4aee,QB,Palm Springs,CA,3405,3405,243.2,267,383,0.697,35,6,121,14,2014,receiving
90,Blake,Barnett,Blake Barnett,/ca/corona/santiago-sharks/athletes/blake-barnett/football/stats/?careerid=scd06s226pdsc,scd06s226pdsc,QB,Santiago,CA,3404,3404,309.5,234,395,0.592,23,11,95,11,2014,receiving
91,Zach,Smith,Zach Smith,/tx/grandview/grandview-zebras/athletes/zach-smith/football/stats/?careerid=73f28o5v1pi55,73f28o5v1pi55,QB,Grandview,TX,3399,3399,339.9,201,300,0.67,34,7,133,10,2014,receiving
92,Cole,Smith,Cole Smith,/tn/knoxville/christian-academy-of-knoxville-warriors/athletes/cole-smith/football/stats/?careerid=q9carufglgg44,q9carufglgg44,QB,Christian Academy of Knoxville,TN,3393,3393,261.0,274,434,0.631,17,15,86,13,2014,receiving
93,Victor,Rodriguez,Victor Rodriguez,/tx/amarillo/caprock-longhorns/athletes/victor-rodriguez/football/stats/?careerid=pl28gsg5tdrue,pl28gsg5tdrue,QB,Caprock,TX,3382,3382,338.2,258,404,0.639,32,10,106,10,2014,receiving
94,Sam,Metcalf,Sam Metcalf,/ca/farmersville/farmersville-aztecs/athletes/sam-metcalf/football/stats/?careerid=fopc17r97o611,fopc17r97o611,QB,Farmersville,CA,3360,3360,336.0,212,371,0.571,42,6,118,10,2014,receiving
95,Stevie,Powers,Stevie Powers,/ga/savannah/benedictine-cadets/athletes/stevie-powers/football/stats/?careerid=70729tivjgd99,70729tivjgd99,QB,Benedictine,GA,3347,3347,223.1,177,260,0.681,32,6,141,15,2014,receiving
96,Tristan,Gebbia,Tristan Gebbia,/ca/calabasas/calabasas-coyotes/athletes/tristan-gebbia/football/stats/?careerid=7s841uv0l6jff,7s841uv0l6jff,QB,Calabasas,CA,3336,3336,278.0,239,367,0.651,35,11,114,12,2014,receiving
