Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,rec,rec_yds,rec_yds_per_rec,rec_td,rec_yds_per_g,rush_att,rush_yds,rush_yds_per_att,rush_td,rush_yds_per_g,scrim_att,yds_from_scrimmage,scrim_yds_per_att,scrim_td,awards,Year
Rodney Adams,rodney-adams-1,/cfb/players/rodney-adams-1.html,South Florida,American,13,67,822,12.3,5,63.2,23,231,10.0,5,17.8,90,1053,11.7,10,,2016
Emanuel Thompson,emanuel-thompson-1,/cfb/players/emanuel-thompson-1.html,Troy,Sun Belt,13,80,820,10.3,6,63.1,0,0,,0,0.0,80,820,10.3,6,,2016
Corey Jones,corey-jones-3,/cfb/players/corey-jones-3.html,Toledo,MAC,13,66,817,12.4,5,62.8,2,6,3.0,0,0.5,68,823,12.1,5,,2016
Chance Allen,chance-allen-2,/cfb/players/chance-allen-2.html,Houston,American,12,56,815,14.6,6,67.9,0,0,,0,0.0,56,815,14.6,6,,2016
Jalen McCleskey,jalen-mccleskey-1,/cfb/players/jalen-mccleskey-1.html,Oklahoma State,Big 12,13,73,812,11.1,7,62.5,3,9,3.0,0,0.7,76,821,10.8,7,,2016
Ishmael Zamora,ishmael-zamora-1,/cfb/players/ishmael-zamora-1.html,Baylor,Big 12,10,63,809,12.8,8,80.9,5,27,5.4,0,2.7,68,836,12.3,8,,2016
Adam Breneman,adam-breneman-1,/cfb/players/adam-breneman-1.html,Massachusetts,Ind,12,70,808,11.5,8,67.3,0,0,,0,0.0,70,808,11.5,8,,2016
Austin Duke,austin-duke-1,/cfb/players/austin-duke-1.html,Charlotte,CUSA,12,59,803,13.6,4,66.9,11,40,3.6,0,3.3,70,843,12.0,4,,2016
Andy Isabella,andy-isabella-1,/cfb/players/andy-isabella-1.html,Massachusetts,Ind,12,62,801,12.9,7,66.8,12,100,8.3,0,8.3,74,901,12.2,7,,2016
R.J. Shelton,rj-shelton-1,/cfb/players/rj-shelton-1.html,Michigan State,Big Ten,12,53,789,14.9,5,65.8,18,121,6.7,0,10.1,71,910,12.8,5,,2016
Devin Ross,devin-ross-2,/cfb/players/devin-ross-2.html,Colorado,Pac-12,14,69,787,11.4,5,56.2,3,10,3.3,0,0.7,72,797,11.1,5,,2016
Deebo Samuel,deebo-samuel-1,/cfb/players/deebo-samuel-1.html,South Carolina,SEC,10,59,783,13.3,1,78.3,15,98,6.5,6,9.8,74,881,11.9,7,,2016
Michael Henry,michael-henry-1,/cfb/players/michael-henry-1.html,Western Michigan,MAC,14,63,779,12.4,4,55.6,0,0,,0,0.0,63,779,12.4,4,,2016
Jon'Vea Johnson,jonvea-johnson-1,/cfb/players/jonvea-johnson-1.html,Toledo,MAC,13,40,773,19.3,10,59.5,0,0,,0,0.0,40,773,19.3,10,,2016
KeeSean Johnson,keesean-johnson-1,/cfb/players/keesean-johnson-1.html,Fresno State,MWC,12,66,773,11.7,6,64.4,3,13,4.3,0,1.1,69,786,11.4,6,,2016
Calvin Ridley,calvin-ridley-1,/cfb/players/calvin-ridley-1.html,Alabama,SEC,15,72,769,10.7,7,51.3,5,21,4.2,1,1.4,77,790,10.3,8,,2016
James Quick,james-quick-1,/cfb/players/james-quick-1.html,Louisville,ACC,13,45,769,17.1,6,59.2,0,0,,0,0.0,45,769,17.1,6,,2016
Demetris Robertson,demetris-robertson-1,/cfb/players/demetris-robertson-1.html,California,Pac-12,12,50,767,15.3,7,63.9,0,0,,0,0.0,50,767,15.3,7,,2016
Stacy Coley,stacy-coley-1,/cfb/players/stacy-coley-1.html,Miami (FL),ACC,13,63,754,12.0,9,58.0,0,0,,0,0.0,63,754,12.0,9,,2016
James Gardner,james-gardner-1,/cfb/players/james-gardner-1.html,Miami (OH),MAC,11,45,750,16.7,6,68.2,0,0,,0,0.0,45,750,16.7,6,,2016
Demetris Robertson,demetris-robertson-2,/cfb/players/demetris-robertson-2.html,California,Pac-12,10,47,749,15.9,7,74.9,0,0,,0,0.0,47,749,15.9,7,,2016
Devonte Boyd,devonte-boyd-1,/cfb/players/devonte-boyd-1.html,Nevada-Las Vegas,MWC,10,45,746,16.6,4,74.6,0,0,,0,0.0,45,746,16.6,4,,2016
Keon Hatcher,keon-hatcher-1,/cfb/players/keon-hatcher-1.html,Arkansas,SEC,12,44,743,16.9,8,61.9,4,7,1.8,0,0.6,48,750,15.6,8,,2016
T.J. Rahming,tj-rahming-1,/cfb/players/tj-rahming-1.html,Duke,ACC,12,70,742,10.6,1,61.8,1,-1,-1.0,0,-0.1,71,741,10.4,1,,2016
Deondre Douglas,deondre-douglas-1,/cfb/players/deondre-douglas-1.html,Troy,Sun Belt,13,60,740,12.3,6,56.9,1,1,1.0,0,0.1,61,741,12.1,6,,2016
Drew Morgan,drew-morgan-1,/cfb/players/drew-morgan-1.html,Arkansas,SEC,13,65,739,11.4,3,56.8,4,8,2.0,0,0.6,69,747,10.8,3,,2016
Jordan Leggett,jordan-leggett-1,/cfb/players/jordan-leggett-1.html,Clemson,ACC,15,46,736,16.0,7,49.1,0,0,,0,0.0,46,736,16.0,7,,2016
Jonathan Duhart,jonathan-duhart-1,/cfb/players/jonathan-duhart-1.html,Old Dominion,CUSA,13,48,735,15.3,9,56.5,0,0,,0,0.0,48,735,15.3,9,,2016
Allen Lazard,allen-lazard-1,/cfb/players/allen-lazard-1.html,Iowa State,Big 12,12,54,731,13.5,5,60.9,0,0,,0,0.0,54,731,13.5,5,,2016
Al-Damion Riles,al-damion-riles-1,/cfb/players/al-damion-riles-1.html,Louisiana,Sun Belt,13,60,729,12.2,2,56.1,10,46,4.6,0,3.5,70,775,11.1,2,,2016
