Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_defense,games_pff,tackles_combined,tackles_loss,sacks,def_int,pass_defended,fumbles_forced,award_aa,award_aac_defensive_player_of_the_year,award_acc_defensive_player_of_the_year,award_bednarik,award_big_12_defensive_player_of_the_year,award_big_ten_defensive_player_of_the_year,award_bronko_nagurski_award_most_outstanding_defensive_player,award_cusa_defensive_player_of_the_year,award_chuck_bednarik_award_defensive_player_of_the_year,award_john_outland_trophy_most_outstanding_interior_lineman,award_mac_defensive_player_of_the_year,award_mwc_defensive_player_of_the_year,award_nagurski,award_pac_12_defensive_player_of_the_year,award_ronnie_lott_trophy_defensive_impact_player_of_the_year,award_sec_defensive_player_of_the_year,award_sun_belt_defensive_player_of_the_year,award_sun_belt_player_of_the_year,award_ted_hendricks_award_defensive_end_of_the_year_award,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year
keshawn-banks-1,Keshawn Banks,IDL,San Diego State,San Diego State,5,59.0,-1.927118644067797,0.0,,0,59.0,54.0,139.0,42.0,13.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kevin-atkins-2,Kevin Atkins,IDL,Fresno State,Fresno State,5,59.0,-2.685593220338983,0.0,,0,59.0,54.0,141.0,31.0,17.5,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nazir-stackhouse-1,Nazir Stackhouse,IDL,Georgia,Georgia,5,59.0,5.9271186440677965,0.0,,0,59.0,51.0,96.0,9.0,3.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
philip-blidi-1,Philip Blidi,IDL,Auburn,Auburn|Indiana|Texas Tech,5,59.0,3.8969491525423727,0.0,,0,59.0,58.0,91.0,11.5,3.5,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sulaiman-kamara-1,Sulaiman Kamara,IDL,Wake Forest,Wake Forest,5,59.0,2.0086440677966104,0.0,,0,59.0,54.0,98.0,10.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty-robinson-1,Ty Robinson,IDL,Nebraska,Nebraska,6,59.0,4.077966101694916,0.0,,0,57.0,58.0,134.0,26.5,12.0,0.0,12.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warren-brinson-1,Warren Brinson,IDL,Georgia,Georgia,5,59.0,5.957966101694915,0.0,,0,59.0,50.0,71.0,14.0,6.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christian-wilkins-1,Christian Wilkins,IDL,Clemson,Clemson,4,58.0,5.944827586206896,1.0,AA,0,58.0,48.0,191.0,41.0,16.0,0.0,16.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chidi-ogbonnaya-1,Chidi Ogbonnaya,IDL,Baylor,Baylor,6,58.0,3.757758620689655,0.0,,0,51.0,53.0,26.0,4.0,1.5,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cj-brewer-2,C.J. Brewer,IDL,Coastal Carolina,Coastal Carolina,5,58.0,-6.161896551724138,0.0,,0,58.0,0.0,230.0,32.5,16.0,1.0,6.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darius-alexander-1,Darius Alexander,IDL,Toledo,Toledo,6,58.0,-1.8617241379310343,0.0,,0,58.0,53.0,127.0,22.0,9.0,1.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deslin-alexandre-1,Deslin Alexandre,IDL,Pitt,Pitt,6,58.0,0.015000000000000001,0.0,,0,58.0,51.0,131.0,29.5,16.5,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devonte-omalley-1,Devonte O'Malley,IDL,Northern Illinois,Northern Illinois,5,58.0,-2.9186206896551727,0.0,,0,58.0,54.0,130.0,30.0,22.5,1.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dezmond-tell-1,Dezmond Tell,IDL,Louisville,Louisville,5,58.0,3.0977586206896555,0.0,,0,54.0,54.0,88.0,14.5,5.5,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eddie-wilson-2,Eddie Wilson,IDL,Kansas,Buffalo|Kansas,5,58.0,-0.38982758620689656,0.0,,0,58.0,52.0,94.0,8.0,3.5,0.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
