Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_aac_offensive_player_of_the_year,award_acc_offensive_player_of_the_year,award_acc_player_of_the_year,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_doak_walker_award_most_outstanding_running_back,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mac_offensive_player_of_the_year,award_mwc_offensive_player_of_the_year,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sun_belt_offensive_player_of_the_year,award_vern_smith_leadership_award,award_vince_lombardi_award_lineman_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
tucker-gregg-1,Tucker Gregg,RB,Georgia State,Georgia State,5,57.0,-3.0089473684210524,0.0,,0,57.0,44.0,482.0,2265.0,28.0,13.0,113.0,0.0,2378.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ulysses-bentley-iv-1,Ulysses Bentley IV,RB,Ole Miss,Ole Miss|SMU,6,57.0,0.3724561403508771,0.0,,0,57.0,57.0,468.0,2591.0,28.0,66.0,484.0,3.0,3075.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
austin-jones-6,Austin Jones,RB,USC,Stanford|USC,5,56.0,3.7823214285714286,0.0,,0,56.0,56.0,498.0,2337.0,24.0,105.0,901.0,3.0,3238.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cody-rudy-1,Cody Rudy,RB,Ball State,Ball State,5,56.0,-3.5021428571428572,0.0,,0,0.0,44.0,0.0,0.0,0.0,32.0,224.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
damien-harris-1,Damien Harris,RB,Alabama,Alabama,4,56.0,0.0,0.0,,0,56.0,56.0,441.0,2779.0,21.0,52.0,407.0,2.0,3186.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
justice-ellison-1,Justice Ellison,RB,Indiana,Indiana|Wake Forest,5,56.0,1.9024999999999999,0.0,,0,56.0,56.0,586.0,2749.0,25.0,37.0,253.0,1.0,3002.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kavosiey-smoke-1,Kavosiey Smoke,RB,Colorado,Colorado|Kentucky,6,56.0,3.115178571428572,0.0,,0,56.0,44.0,294.0,1581.0,13.0,11.0,98.0,0.0,1679.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kevin-davis-8,Kevin Davis,RB,Miami (OH),Miami (OH),5,56.0,-4.261071428571428,0.0,,0,56.0,56.0,213.0,1116.0,10.0,91.0,809.0,5.0,1925.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kobe-lewis-1,Kobe Lewis,RB,Florida Atlantic,Central Michigan|Florida Atlantic|Purdue,6,56.0,-0.8632142857142855,0.0,,0,56.0,44.0,425.0,2137.0,21.0,65.0,426.0,1.0,2563.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nakia-watson-1,Nakia Watson,RB,Washington State,Washington State|Wisconsin,6,56.0,3.5603571428571428,0.0,,0,56.0,37.0,396.0,1726.0,18.0,57.0,529.0,7.0,2255.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roydell-williams-2,Roydell Williams,RB,Florida State,Alabama|Florida State,6,56.0,0.8703571428571427,0.0,,0,56.0,48.0,275.0,1264.0,13.0,28.0,217.0,2.0,1481.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tahj-brooks-1,Tahj Brooks,RB,Texas Tech,Texas Tech,5,56.0,3.7982142857142853,0.0,,0,56.0,56.0,879.0,4557.0,45.0,102.0,548.0,2.0,5105.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyler-crowe-1,Tyler Crowe,RB,Boise State,Boise State,5,56.0,-1.695714285714286,0.0,,0,56.0,44.0,79.0,403.0,4.0,9.0,81.0,0.0,484.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
travis-etienne-1,Travis Etienne,RB,Clemson,Clemson,4,55.0,4.002000000000001,7.0,AA|ACC Offensive Player of the Year|ACC Player of the Year|H-7|H-9,7,55.0,55.0,686.0,4952.0,70.0,102.0,1155.0,8.0,6107.0,78.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
najee-harris-1,Najee Harris,RB,Alabama,Alabama,4,55.0,0.6641818181818182,3.0,AA|Doak Walker Award [Most Outstanding Running Back]|H-5,5,55.0,55.0,638.0,3843.0,46.0,80.0,781.0,11.0,4624.0,57.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cash-jones-1,Cash Jones,RB,Georgia,Georgia,5,55.0,5.273454545454546,0.0,,0,55.0,53.0,52.0,253.0,3.0,57.0,573.0,6.0,826.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charles-williams-8,Charles Williams,RB,Nevada-Las Vegas,Nevada-Las Vegas,6,55.0,-2.9021818181818184,0.0,,0,55.0,54.0,800.0,4201.0,34.0,39.0,310.0,0.0,4511.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
david-bailey-4,David Bailey,RB,Texas A&M,Boston College|Colorado State|Texas A&M,6,55.0,0.2521818181818181,0.0,,0,54.0,49.0,569.0,2510.0,26.0,37.0,307.0,4.0,2817.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devyn-ford-1,Devyn Ford,RB,Notre Dame,Notre Dame|Penn State,6,55.0,4.890545454545455,0.0,,0,55.0,55.0,161.0,765.0,6.0,26.0,143.0,1.0,908.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dk-billingsley-1,DK Billingsley,RB,Troy,Troy,6,55.0,-3.5796363636363635,0.0,,0,53.0,53.0,368.0,1845.0,19.0,36.0,264.0,0.0,2109.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
houston-heimuli-1,Houston Heimuli,RB,BYU,BYU|Stanford,6,55.0,2.3305454545454545,0.0,,0,0.0,39.0,0.0,0.0,0.0,7.0,25.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
