Player_ID,Player,School,Year,pos,pos_norm,games_total,award_count,sos,games_kicking,games_punting,xpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,awards,heisman_finish,award_aa,award_lou_groza_award_most_outstanding_place_kicker,award_ray_guy_award_most_outstanding_punter
cooper-mojsiejenko-1,Cooper Mojsiejenko,Central Michigan,2015,P,SPEC,0.0,0.0,-1.8,,,,,,,,,,,,,,0,0,0,0
luke-idoni-1,Luke Idoni,Central Michigan,2015,LS,SPEC,0.0,0.0,-1.8,,,,,,,,,,,,,,0,0,0,0
mike-zenk-1,Mike Zenk,Central Michigan,2015,LS,SPEC,13.0,0.0,-1.8,,,,,,,,,,,,,,0,0,0,0
ron-coluzzi-1,Ron Coluzzi,Central Michigan,2015,K,SPEC,12.0,0.0,-1.8,,12.0,,,,,,,,59.0,2310.0,39.2,,0,0,0,0
arthur-hart-1,Arthur Hart,Charlotte,2015,P,SPEC,12.0,0.0,-7.03,,12.0,,,,,,,,75.0,2895.0,38.6,,0,0,0,0
blake-brewer-1,Blake Brewer,Charlotte,2015,K,SPEC,12.0,0.0,-7.03,12.0,,24.0,24.0,100.0,14.0,27.0,51.9,66.0,,,,,0,0,0,0
brian-mcdonough-1,Brian McDonough,Charlotte,2015,LS,SPEC,0.0,0.0,-7.03,,,,,,,,,,,,,,0,0,0,0
hayden-pezzoni-1,Hayden Pezzoni,Charlotte,2015,K,SPEC,0.0,0.0,-7.03,,,,,,,,,,,,,,0,0,0,0
keaston-sinicki-1,Keaston Sinicki,Charlotte,2015,LS,SPEC,12.0,0.0,-7.03,,,,,,,,,,,,,,0,0,0,0
stephen-muscarello-1,Stephen Muscarello,Charlotte,2015,K,SPEC,0.0,0.0,-7.03,,,,,,,,,,,,,,0,0,0,0
andrew-gantz-1,Andrew Gantz,Cincinnati,2015,K,SPEC,13.0,0.0,-0.65,13.0,,49.0,50.0,98.0,21.0,27.0,77.8,112.0,,,,,0,0,0,0
jon-vincent-1,Jon Vincent,Cincinnati,2015,LS,SPEC,0.0,0.0,-0.65,,,,,,,,,,,,,,0,0,0,0
josh-pasley-1,Josh Pasley,Cincinnati,2015,K,SPEC,0.0,0.0,-0.65,,,,,,,,,,,,,,0,0,0,0
kirk-willis-1,Kirk Willis,Cincinnati,2015,LS,SPEC,13.0,0.0,-0.65,,,,,,,,,,,,,,0,0,0,0
ryan-jones-3,Ryan Jones,Cincinnati,2015,K,SPEC,0.0,0.0,-0.65,,,,,,,,,,,,,,0,0,0,0
