Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_pff,award_aa,award_dave_rimington_trophy_most_outstanding_center,award_john_outland_trophy_most_outstanding_interior_lineman,award_vince_lombardi_award_lineman_of_the_year
tyler-miller-2,Tyler Miller,OL,Iowa State,Iowa State,6,50.0,4.072,0.0,,0,50.0,0,0,0,0
xzauvea-gadlin-1,X'Zauvea Gadlin,OL,Liberty,Liberty|Tulsa,6,50.0,-1.4287999999999998,0.0,,0,38.0,0,0,0,0
barrett-miller-1,Barrett Miller,OL,California,California|Stanford,5,49.0,3.6551020408163266,0.0,,0,49.0,0,0,0,0
brandon-crenshaw-dickson-1,Brandon Crenshaw-Dickson,OL,Florida,Florida|San Diego State,6,49.0,-0.19102040816326543,0.0,,0,47.0,0,0,0,0
camron-johnson-1,Cam'ron Johnson,OL,Missouri,Houston|Missouri,6,49.0,1.2728571428571431,0.0,,0,47.0,0,0,0,0
cole-bentley-1,Cole Bentley,OL,Louisville,Louisville,5,49.0,2.5693877551020408,0.0,,0,49.0,0,0,0,0
colton-mckivitz-1,Colton McKivitz,OL,West Virginia,West Virginia,5,49.0,2.9912244897959184,0.0,,0,47.0,0,0,0,0
curtis-blackwell-1,Curtis Blackwell,OL,Ball State,Ball State,5,49.0,-3.680816326530612,0.0,,0,49.0,0,0,0,0
dalton-risner-1,Dalton Risner,OL,Kansas State,Kansas State,4,49.0,1.9691836734693877,0.0,,0,48.0,0,0,0,0
gray-davis-1,Gray Davis,OL,Colorado State,Colorado State|Nevada,6,49.0,-4.0653061224489795,0.0,,0,48.0,0,0,0,0
hollin-pierce-1,Hollin Pierce,OL,Rutgers,Rutgers,5,49.0,4.06,0.0,,0,48.0,0,0,0,0
isaiah-world-1,Isaiah World,OL,Oregon,Nevada|Oregon,4,49.0,-0.4469387755102039,0.0,,0,49.0,0,0,0,0
jack-hollifield-1,Jack Hollifield,OL,Tulane,Appalachian State|Tulane|Virginia Tech,5,49.0,0.1873469387755102,0.0,,0,30.0,0,0,0,0
jacob-brammer-1,Jacob Brammer,OL,Vanderbilt,North Texas|Vanderbilt,6,49.0,-3.764489795918367,0.0,,0,48.0,0,0,0,0
jager-burton-1,Jager Burton,OL,Kentucky,Kentucky,5,49.0,4.460408163265306,0.0,,0,48.0,0,0,0,0
jerome-carvin-1,Jerome Carvin,OL,Tennessee,Tennessee,5,49.0,4.961224489795919,0.0,,0,49.0,0,0,0,0
jonah-monheim-1,Jonah Monheim,OL,USC,USC,5,49.0,4.599183673469388,0.0,,0,47.0,0,0,0,0
jonny-hassard-1,Jonny Hassard,OL,Charlotte,Charlotte|Massachusetts,5,49.0,-2.923673469387755,0.0,,0,49.0,0,0,0,0
logan-zschernitz-1,Logan Zschernitz,OL,Northern Illinois,Northern Illinois,6,49.0,-1.7051020408163267,0.0,,0,47.0,0,0,0,0
luke-fortner-1,Luke Fortner,OL,Kentucky,Kentucky,5,49.0,2.7424489795918365,0.0,,0,49.0,0,0,0,0
mahamane-moussa-1,Mahamane Moussa,OL,Louisville,Louisville|Purdue,5,49.0,4.038163265306123,0.0,,0,49.0,0,0,0,0
