Player_ID,Player,pos_norm,latest_school,schools_played,seasons_count,games_total,sos_season_weighted,award_count,awards,heisman_finish,games_rushing,games_receiving,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,yds_from_scrimmage,scrim_td,award_aa,award_ap_player_of_the_year_award_most_outstanding_player,award_big_12_offensive_player_of_the_year,award_big_ten_offensive_player_of_the_year,award_cusa_most_valuable_player,award_cusa_offensive_player_of_the_year,award_camp,award_fred_biletnikoff_award_outstanding_receiver,award_heisman_memorial_trophy_most_outstanding_player,award_johnny_the_jet_rodgers_award_most_outstanding_return_specialist,award_mac_offensive_player_of_the_year,award_maxwell,award_maxwell_award_player_of_the_year,award_pac_12_offensive_player_of_the_year,award_sec_offensive_player_of_the_year,award_sun_belt_offensive_player_of_the_year,award_sun_belt_player_of_the_year,award_walter_camp_player_of_the_year_award_most_outstanding_player
keyon-lesane-1,Keyon Lesane,WR,North Carolina State,North Carolina State,5,58.0,1.0967241379310344,0.0,,0,35.0,57.0,11.0,101.0,0.0,83.0,785.0,2.0,507.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lajohntay-wester-1,LaJohntay Wester,WR,Colorado,Colorado|Florida Atlantic,5,58.0,-4.113448275862068,0.0,,0,58.0,58.0,37.0,213.0,2.0,326.0,3634.0,31.0,3847.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logan-loya-1,Logan Loya,WR,Minnesota,Minnesota|UCLA,6,58.0,2.5346551724137933,0.0,,0,11.0,58.0,1.0,-5.0,0.0,119.0,1375.0,12.0,56.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loic-fouonji-1,Loic Fouonji,WR,Vanderbilt,Texas Tech|Vanderbilt,5,58.0,4.469827586206897,0.0,,0,0.0,58.0,0.0,0.0,0.0,64.0,955.0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malachi-carter-1,Malachi Carter,WR,Georgia Tech,Georgia Tech,5,58.0,2.528103448275862,0.0,,0,11.0,58.0,2.0,36.0,0.0,99.0,1417.0,10.0,378.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ryan-davis-6,Ryan Davis,WR,Utah,New Mexico|UAB|Utah,7,58.0,-3.0532758620689653,0.0,,0,0.0,55.0,0.0,0.0,0.0,159.0,2007.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samario-rudolph-1,Samario Rudolph,WR,Jacksonville State,Jacksonville State|UAB,6,58.0,-4.125689655172414,0.0,,0,26.0,58.0,3.0,22.0,0.0,57.0,641.0,5.0,137.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samson-nacua-1,Samson Nacua,WR,BYU,BYU|Utah,5,58.0,0.13637931034482756,0.0,,0,26.0,58.0,8.0,32.0,1.0,103.0,1344.0,14.0,655.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shocky-jacques-louis-1,Shocky Jacques-Louis,WR,Akron,Akron|Pitt,5,58.0,-1.1651724137931034,0.0,,0,46.0,58.0,34.0,190.0,0.0,157.0,1941.0,5.0,1200.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xzavier-henderson-1,Xzavier Henderson,WR,Cincinnati,Cincinnati|Florida,5,58.0,4.145862068965517,0.0,,0,0.0,58.0,0.0,0.0,0.0,190.0,2355.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aj-henning-1,A.J. Henning,WR,Northwestern,Michigan|Northwestern,5,57.0,4.105438596491228,0.0,,0,57.0,57.0,47.0,304.0,3.0,129.0,1219.0,8.0,1523.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barrett-banister-1,Barrett Banister,WR,Missouri,Missouri,6,57.0,4.091578947368421,0.0,,0,13.0,56.0,2.0,-4.0,0.0,143.0,1322.0,2.0,275.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chimere-dike-1,Chimere Dike,WR,Florida,Florida|Wisconsin,5,57.0,4.573508771929824,0.0,,0,33.0,57.0,14.0,99.0,1.0,139.0,2261.0,11.0,1249.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chris-platt-1,Chris Platt,WR,Baylor,Baylor,5,57.0,1.7810526315789472,0.0,,0,44.0,57.0,11.0,94.0,1.0,122.0,1987.0,12.0,1926.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
