Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Matthew Trickett,matthew-trickett-1,/cfb/players/matthew-trickett-1.html,Kent State,MAC,12,35,1354,38.7,,2018
Anthony Lotti,anthony-lotti-1,/cfb/players/anthony-lotti-1.html,Wisconsin,Big Ten,8,32,1234,38.6,,2018
Magill Bauerle,magill-bauerle-1,/cfb/players/magill-bauerle-1.html,Georgia Southern,Sun Belt,13,56,2164,38.6,,2018
Davis Price,davis-price-1,/cfb/players/davis-price-1.html,Colorado,Pac-12,12,48,1842,38.4,,2018
Zachary Block,zachary-block-1,/cfb/players/zachary-block-1.html,Tulane,American,13,28,1073,38.3,,2018
Brian Papazian,brian-papazian-1,/cfb/players/brian-papazian-1.html,San Jose State,MWC,11,15,571,38.1,,2018
Sebastian Riella,sebastian-riella-1,/cfb/players/sebastian-riella-1.html,Florida Atlantic,CUSA,11,38,1446,38.1,,2018
Feleipe Franks,feleipe-franks-1,/cfb/players/feleipe-franks-1.html,Florida,SEC,13,1,38,38.0,,2018
Joe Rivera,joe-rivera-1,/cfb/players/joe-rivera-1.html,Iowa State,Big 12,13,2,76,38.0,,2018
Mason Lawler,mason-lawler-1,/cfb/players/mason-lawler-1.html,Bowling Green,MAC,3,1,38,38.0,,2018
Matthew Phillips,matthew-phillips-2,/cfb/players/matthew-phillips-2.html,Arkansas,SEC,5,4,152,38.0,,2018
Mike Bernier,mike-bernier-1,/cfb/players/mike-bernier-1.html,Alabama,SEC,8,25,951,38.0,,2018
Clayton Stewart,clayton-stewart-1,/cfb/players/clayton-stewart-1.html,Texas State,Sun Belt,12,69,2615,37.9,,2018
Ryan Galovich,ryan-galovich-1,/cfb/players/ryan-galovich-1.html,Wyoming,MWC,5,13,493,37.9,,2018
Travis Reynolds,travis-reynolds-2,/cfb/players/travis-reynolds-2.html,Massachusetts,Ind,12,15,567,37.8,,2018
