Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,awards,Year
Kai Horton,kai-horton-1,/cfb/players/kai-horton-1.html,Tulane,American,5,8,19,42.1,88,0,0.0,3,15.8,4.6,-2.47,11.0,17.6,49.4,,2021
Emmett Morehead,emmett-morehead-1,/cfb/players/emmett-morehead-1.html,Boston College,ACC,2,6,16,37.5,87,0,0.0,0,0.0,5.4,5.44,14.5,43.5,83.2,,2021
Ty Thompson,ty-thompson-2,/cfb/players/ty-thompson-2.html,Oregon,Pac-12,3,7,15,46.7,87,2,13.3,1,6.7,5.8,5.47,12.4,29.0,126.1,,2021
Ta'Quan Roberson,taquan-roberson-1,/cfb/players/taquan-roberson-1.html,Penn State,Big Ten,4,11,28,39.3,85,1,3.6,2,7.1,3.0,0.54,7.7,21.3,62.3,,2021
Evan Conley,evan-conley-1,/cfb/players/evan-conley-1.html,Louisville,ACC,5,10,19,52.6,79,1,5.3,0,0.0,4.2,5.21,7.9,15.8,104.9,,2021
Sam Jackson,sam-jackson-3,/cfb/players/sam-jackson-3.html,Texas Christian,Big 12,2,1,1,100.0,77,0,0.0,0,0.0,77.0,77.00,77.0,38.5,746.8,,2021
Donovan Edwards,donovan-edwards-1,/cfb/players/donovan-edwards-1.html,Michigan,Big Ten,12,1,1,100.0,75,1,100.0,0,0.0,75.0,95.00,75.0,6.3,1060.0,,2021
Maasai Maynor,maasai-maynor-1,/cfb/players/maasai-maynor-1.html,Navy,American,3,6,13,46.2,74,0,0.0,0,0.0,5.7,5.69,12.3,24.7,94.0,,2021
Miller Moss,miller-moss-1,/cfb/players/miller-moss-1.html,USC,Pac-12,2,8,13,61.5,74,1,7.7,0,0.0,5.7,7.23,9.3,37.0,134.7,,2021
Mariano Valenti,mariano-valenti-1,/cfb/players/mariano-valenti-1.html,Temple,American,3,10,14,71.4,73,0,0.0,0,0.0,5.2,5.21,7.3,24.3,115.2,,2021
Tucker Gleason,tucker-gleason-1,/cfb/players/tucker-gleason-1.html,Toledo,MAC,3,5,9,55.6,69,0,0.0,0,0.0,7.7,7.67,13.8,23.0,120.0,,2021
Johnny Langan,johnny-langan-1,/cfb/players/johnny-langan-1.html,Rutgers,Big Ten,13,6,9,66.7,68,1,11.1,0,0.0,7.6,9.78,11.3,5.2,166.8,,2021
Michael Kern,michael-kern-1,/cfb/players/michael-kern-1.html,Wake Forest,ACC,3,2,5,40.0,67,0,0.0,0,0.0,13.4,13.40,33.5,22.3,152.6,,2021
Ryan O'Keefe,ryan-okeefe-1,/cfb/players/ryan-okeefe-1.html,UCF,American,13,3,3,100.0,66,2,66.7,0,0.0,22.0,35.33,22.0,5.1,504.8,,2021
Nate Hampton,nate-hampton-1,/cfb/players/nate-hampton-1.html,Liberty,Ind,1,1,4,25.0,63,1,25.0,0,0.0,15.8,20.75,63.0,63.0,239.8,,2021
Cole Kramer,cole-kramer-1,/cfb/players/cole-kramer-1.html,Minnesota,Big Ten,8,3,3,100.0,62,2,66.7,0,0.0,20.7,34.00,20.7,7.8,493.6,,2021
Micah Leon,micah-leon-2,/cfb/players/micah-leon-2.html,Connecticut,Ind,1,10,13,76.9,62,0,0.0,0,0.0,4.8,4.77,6.2,62.0,117.0,,2021
Calvin Brownholtz,calvin-brownholtz-1,/cfb/players/calvin-brownholtz-1.html,UTEP,CUSA,12,2,7,28.6,60,1,14.3,1,14.3,8.6,5.00,30.0,5.0,119.1,,2021
Ricky Pearsall,ricky-pearsall-1,/cfb/players/ricky-pearsall-1.html,Arizona State,Pac-12,13,2,2,100.0,59,1,50.0,0,0.0,29.5,39.50,29.5,4.5,512.8,,2021
Hunter Helms,hunter-helms-1,/cfb/players/hunter-helms-1.html,Clemson,ACC,2,5,13,38.5,58,0,0.0,0,0.0,4.5,4.46,11.6,29.0,75.9,,2021
Warren Bryan,warren-bryan-1,/cfb/players/warren-bryan-1.html,Air Force,MWC,5,3,7,42.9,58,1,14.3,0,0.0,8.3,11.14,19.3,11.6,159.6,,2021
Bryson Carroll,bryson-carroll-1,/cfb/players/bryson-carroll-1.html,New Mexico,MWC,2,8,10,80.0,57,1,10.0,0,0.0,5.7,7.70,7.1,28.5,160.9,,2021
Braden Smith,braden-smith-4,/cfb/players/braden-smith-4.html,Louisville,ACC,4,2,3,66.7,54,1,33.3,0,0.0,18.0,24.67,27.0,13.5,327.9,,2021
Carson Baker,carson-baker-2,/cfb/players/carson-baker-2.html,Western Kentucky,CUSA,1,1,1,100.0,54,1,100.0,0,0.0,54.0,74.00,54.0,54.0,883.6,,2021
