player,player_id,position,team_name,player_game_count,franchise_id
Phil Patterson,42083,WR,VA TECH,5,337
Demarcus Felton,45678,HB,TEXAS TECH,11,315
Maliek Broady,34220,HB,NEVADA,6,239
Scott Lashley,40723,T,ALABAMA,3,103
Marcus Joyner,40796,TE,DOMINION,6,263
Kendall Hinton,34045,QB,WAKE,5,339
Marquez McNair,47683,WR,UTSA,9,331
Brandon Childress,25888,WR,C MICHIGAN,3,134
Ja'Deion High,47486,WR,TEXAS TECH,12,315
DeJon Packer,52230,HB,S JOSE ST,11,285
Andrew Parchment,41928,WR,N ILLINOIS,7,254
Michael Eletise,40716,G,ARIZONA,5,109
Darius Anderson,45958,HB,TCU,10,305
Tyler Byrd,47660,WR,TENNESSEE,10,307
Ryan Agnew,33451,QB,S DIEGO ST,7,284
Jordan Murphy,62980,WR,TENNESSEE,7,307
Kade Greeley,52069,TE,HAWAII,6,180
Daythan Davis,39579,TE,TCU,9,305
Shannon Brooks,35029,HB,MINNESOTA,6,225
Ladante Harris,38962,WR,FAU,9,165
Will McBride,62974,QB,TENNESSEE,2,307
David Lucero,26726,TE,UTEP,8,330
Lucas Bezerra,30818,TE,W MICHIGAN,5,347
Julian Ross,57363,HB,OHIO,7,259
Connor Slomka,44054,HB,ARMY,10,114
Carlos Robinson II,31474,HB,S ALABAMA,6,288
Alex Honey,47927,WR,SMU,8,287
Daniel Young,57425,HB,TEXAS,7,311
Cole Clemens,60203,T,VANDERBILT,4,333
Abdul Adams,40414,HB,OKLAHOMA,10,261
Seth Penner,37100,G,CLEMSON,5,140
Pat Godfrey,41420,C,CLEMSON,4,140
Jahmmir Taylor,42404,WR,S ALABAMA,7,288
Jason Huntley,45693,HB,NEW MEX ST,11,242
Drew Hmielewski,40556,WR,MINNESOTA,6,225
Josh Jacobs,45953,HB,ALABAMA,10,103
JaJuan Dulaney,46105,T,TEXAS TECH,5,315
Hunter Broersma,40307,WR,W MICHIGAN,6,347
Nate Romine,46524,QB,AIR FORCE,5,101
Markos Lujan,37274,G,UTEP,3,330
Andrew Otterman,36772,T,NWESTERN,2,256
Brock Macaulay,47005,T,APP STATE,4,108
Sa'Mory Collier,47494,WR,S ALABAMA,10,288
Thomas Jackson,47583,WR,N CAROLINA,3,245
Kyle Fulks,47609,WR,UTAH,12,328
Elijah Robinson,33901,WR,BOSTON COL,7,121
Jacory Washington,28884,TE,LSU,8,211
Eri'Reon Hayes,28155,WR,DOMINION,4,263
Ben Mason,57070,FB,MICHIGAN,9,222
Markis McCray,27009,WR,LA MONROE,4,209
Andre Collins Jr.,42145,WR,UNLV,10,325
Ryan Brand,37572,QB,MARYLAND,5,215
Drew Dan,39890,WR,NEW MEX ST,9,242
Blake Banham,45843,HB,E MICHIGAN,8,160
Brett Connors,30730,C,WISCONSIN,6,349
Terrence Upshaw,27916,HB,APP STATE,7,108
Ka'John Armstrong,46148,T,E MICHIGAN,4,160
Alex Ofodile,28246,WR,OREGON,5,264
Isaiah Bernard,25335,WR,HAWAII,7,180
Emanuel Porter,47776,WR,TCU,6,305
Evan Johnson,57345,HB,N TEXAS,12,251
Trey Pugh,57358,HB,NWESTERN,9,256
K.C. Crosby,47488,TE,S CAROLINA,6,289
Patrick Kasl,41300,T,WISCONSIN,6,349
Aca'Cedric Ware,34669,HB,USC,11,326
Ty Isaac,45887,HB,MICHIGAN,9,222
Joshua Walker,45646,HB,NAVY,4,237
Rahshead Johnson,47884,WR,S JOSE ST,7,285
