player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Favor Bate,191613,ED,BOSTON COL,12,8,0,121,0,0,0,1,11
Willy Love,191668,S,TEMPLE,3,0,0,306,0,0,0,0,0
Hieko Malone,191782,LB,MO STATE,1,0,0,230,0,0,0,0,1
Eric Etienne,191791,DI,W KENTUCKY,3,0,0,346,0,0,0,0,1
Fernando Lecuona,192031,ED,WASH STATE,4,0,0,341,0,0,0,0,0
Anthony Palano,192037,LB,WASH STATE,11,17,1,341,2,0,1,1,41
Carsten Reynolds,192040,LB,WASH STATE,1,0,0,341,0,0,0,0,0
Leroy Harris III,192102,ED,KANSAS,12,2,0,198,6,0,0,5,19
Beni Mwamba,192110,CB,MEMPHIS,1,0,0,218,0,0,0,0,0
Frankie Edwards III,192650,CB,NEW MEXICO,12,10,0,241,0,0,1,0,39
Cole Nilles,192761,LB,TEXAS ST,11,3,0,314,1,0,0,0,17
Darrell Gipson,192976,LB,CINCINNATI,1,1,0,138,0,0,0,0,2
Andrew Baker,193089,LB,W MICHIGAN,3,1,0,347,0,0,0,0,1
Rondo Porter,193093,DI,APP STATE,12,13,0,108,2,0,0,2,26
Alex Cloward,193103,ED,UTAH,2,0,0,328,0,0,0,0,0
Mike Tauteoli,193111,DI,UTAH,2,1,0,328,0,0,0,0,1
Alex Szczesniak,193117,TE,UTEP,1,1,0,330,0,0,0,0,0
Kendal Brown,193122,ED,CHARLOTTE,1,0,0,136,0,0,0,0,2
Kainoa Davis,193127,DI,S DIEGO ST,7,0,0,284,0,0,0,0,2
Kameron Manley,193136,S,CHARLOTTE,1,0,0,136,0,0,0,0,0
Eli Shereshovech IV,193148,DI,MIAMI OH,1,0,0,221,0,0,0,0,0
Chalil Cummings,193161,CB,PURDUE,5,0,0,273,0,0,2,0,2
Kamore Harris,193164,DI,MEMPHIS,5,0,0,218,0,0,0,0,2
Keonde Henry,193165,WR,MEMPHIS,1,0,0,218,0,0,0,0,0
Dominic Kirks,193183,DI,OHIO STATE,3,0,0,260,0,0,0,0,1
Nate Riegle,193188,ED,OHIO,5,1,0,259,0,0,0,0,1
Leroy Roker III,193190,S,OHIO STATE,7,3,0,260,0,0,1,0,4
David Kabongo,193199,S,OKLA STATE,4,3,0,262,0,0,0,0,8
MaLik Caswell,193212,CB,SO MISS,7,1,0,296,0,1,0,0,4
Cam Chmura,193213,DI,MARSHALL,9,1,0,214,0,0,0,0,1
Corey Myrick,193227,S,SO MISS,12,18,0,296,1,1,2,0,59
Guylijah Theodule,193231,CB,SO MISS,3,0,0,296,0,0,0,0,0
TJ Banks,193233,S,OLE MISS,11,6,0,226,0,0,0,0,10
Charlie Stewart,193237,ED,S DIEGO ST,1,0,0,284,0,0,0,0,0
