id,team,name,firstName,lastName,weight,height,jersey,position,hometown,teamColor,teamColorSecondary,season
-1029375,Pittsburgh,Alex Bookser,Alex,Bookser,315.0,78.0,78.0,OL,Pittsburgh,#003263,#231f20,2015
-1023324,Nebraska,Alex Boryca,Alex,Boryca,220.0,74.0,53.0,LB,Cozad,#d00000,#ffffff,2015
4266204,Northwestern,Alex Bousky,Alex,Bousky,193.0,71.0,24.0,PK,,#582c83,#ffffff,2015
552069,Nevada,Alex Boy,Alex,Boy,,75.0,46.0,P,Long Beach,#002d62,#ffffff,2015
3125787,Central Michigan,Alex Briones,Alex,Briones,240.0,74.0,17.0,LB,Ishpeming,#6a0032,#ffc82e,2015
-1042695,West Virginia,Alex Brooks,Alex,Brooks,235.0,71.0,41.0,TE,Cleveland,#002855,#eaaa00,2015
-1022826,Navy,Alex Brown,Alex,Brown,266.0,75.0,68.0,G,West Columbia,#00225b,#b5a67c,2015
3886609,Wisconsin,Alex Hornibrook,Alex,Hornibrook,220.0,76.0,12.0,QB,West Chester,#c4012f,#ffffff,2015
549994,Stanford,Alex Robinson,Alex,Robinson,,72.0,47.0,P,Atlanta,#8c1515,#ffffff,2015
3126036,Northern Illinois,Alex Schwab,Alex,Schwab,230.0,73.0,18.0,LB,New Berlin,#F1122C,#cc0000,2015
3128754,Ole Miss,Alex Weber,Alex,Weber,186.0,73.0,85.0,WR,Lake City,#13294b,#c8102e,2015
502429,BYU,Algernon Brown,Algernon,Brown,,73.0,24.0,RB,Magna,#003da5,#ffffff,2015
-1028756,Oregon State,Ali'i Robins,Ali'i,Robins,293.0,75.0,90.0,DT,Ewa Beach,#231f20,#d73f09,2015
3917578,Louisiana,Alonzo Brown,Alonzo,Brown,216.0,72.0,31.0,LB,Magee,#ce181e,#ffffff,2015
550508,West Virginia,Al-Rasheed Benton,Al-Rasheed,Benton,238.0,73.0,3.0,LB,Newark,#002855,#eaaa00,2015
551312,Florida,Alvin Bailey,Alvin,Bailey,180.0,71.0,5.0,WR,Seffner,#0021a5,#fa4616,2015
3915242,Kentucky,Alvonte Bell,Alvonte,Bell,,77.0,92.0,DE,Miramar,#0033a0,#ffffff,2015
-1042734,West Virginia,Amanii Brown,Amanii,Brown,290.0,77.0,58.0,OL,Morgantown,#002855,#eaaa00,2015
535165,Michigan,Amara Darboh,Amara,Darboh,,74.0,82.0,WR,West Des Moines,#00274c,#ffcb05,2015
534252,Maryland,Amba Etta-Tawo,Amba,Etta-Tawo,,74.0,84.0,WR,Powder Springs,#D5002B,#ffcd00,2015
547193,Hawai'i,Ammon Barker,Ammon,Barker,225.0,76.0,80.0,WR,Salt Lake,#003420,#ffffff,2015
-1041687,Wake Forest,Adam Centers,Adam,Centers,205.0,72.0,98.0,PK,Coppell,#9E7E38,#000000,2015
3122842,Clemson,Adam Choice,Adam,Choice,210.0,68.0,26.0,RB,Thomasville,#f56600,#522d80,2015
518392,Iowa,Adam Cox,Adam,Cox,,71.0,38.0,FB,Chana,#000000,#FFCD00,2015
547223,Arkansas,Adam McFain,Adam,McFain,,72.0,48.0,PK,Greenwood,#a41f35,#ffffff,2015
3915415,Maryland,Adam McLean,Adam,McLean,305.0,74.0,91.0,DL,Gaithersburg,#D5002B,#ffcd00,2015
3125771,Buffalo,Adam Mitcheson,Adam,Mitcheson,205.0,74.0,19.0,PK,Pittsburgh,#041A9B,#ebebeb,2015
-1019087,Massachusetts,Adam Richard,Adam,Richard,213.0,75.0,90.0,LB,Milton,#971B2F,#B1B3B3,2015
-1012322,Georgia State,Adam Schechter,Adam,Schechter,186.0,71.0,86.0,WR,Simi Valley,#1e539a,#ebebeb,2015
518526,Houston,Adam Schulz,Adam,Schulz,,74.0,12.0,QB,Muskego,#c92a39,#ffffff,2015
-1021043,Middle Tennessee,Adam Stickel,Adam,Stickel,306.0,77.0,78.0,OL,Kissimmee,#006db6,#ffffff,2015
3117414,UCLA,Adarius Pickett,Adarius,Pickett,198.0,71.0,6.0,DB,Richmond,#2774ae,#f2a900,2015
-1006822,Charlotte,A.D. Cunningham,A.D.,Cunningham,220.0,73.0,55.0,LB,South Charleston,#046A38,#B9975B,2015
-1042735,West Virginia,Adid Charles,Adid,Charles,200.0,73.0,28.0,S,Long Branch,#002855,#eaaa00,2015
3124014,Syracuse,Adly Enoicy,Adly,Enoicy,228.0,77.0,86.0,WR,Delray Beach,#ff6500,#000e54,2015
3120347,USC,Adoree' Jackson,Adoree',Jackson,,71.0,2.0,DB,Belleville,#9e2237,#ffcc00,2015
3894850,Iowa,Adrian Falconer,Adrian,Falconer,192.0,73.0,82.0,WR,Leesburg,#000000,#FFCD00,2015
3124929,Louisiana,Adrian Goodacre,Adrian,Goodacre,311.0,76.0,77.0,OL,Carthage,#ce181e,#ffffff,2015
536526,Houston,Adrian McDonald,Adrian,McDonald,,71.0,16.0,S,Lawton,#c92a39,#ffffff,2015
-1010551,Florida International,Adrien Francois,Adrien,Francois,181.0,71.0,89.0,WR,Lake Worth,#001538,#c5960c,2015
4259551,Georgia,Ahkil Crumpton,Ahkil,Crumpton,175.0,69.0,25.0,WR,Philadelphia,#ba0c2f,#000000,2015
-1039958,Utah,Ahmad Christian,Ahmad,Christian,188.0,70.0,21.0,DB,Jacksonville,#ea002a,#ffffff,2015
-1025838,Northern Illinois,Aidan Conlon,Aidan,Conlon,305.0,75.0,61.0,OL,Flossmoor,#F1122C,#cc0000,2015
-1043808,Wisconsin,Aidan McNamara,Aidan,McNamara,314.0,76.0,69.0,OL,Madison,#c4012f,#ffffff,2015
3122683,Oregon,Aidan Schneider,Aidan,Schneider,240.0,76.0,41.0,PK,Portland,#007030,#fee11a,2015
-1005313,Boston College,A.J. Caruso,A.J.,Caruso,234.0,73.0,41.0,FB,West Allenhurst,#8c2232,#dbcca6,2015
3686689,NC State,A.J. Cole III,A.J.,Cole III,218.0,76.0,90.0,P,College Park,#cc0000,#ffffff,2015
547108,Akron,A.J. Coney,A.J.,Coney,180.0,68.0,11.0,WR,Orlando,#00285e,#84754e,2015
