year,school_id,school,conference,rank,overall_w,overall_l,overall_pct,conf_w,conf_l,conf_pct,offense_ppg,defense_ppg,srs,sos,ap_pre,ap_high,ap_post,notes
2016,southern-mississippi,Southern Mississippi,CUSA (West),60,7,6,.538,4,4,.500,32.8,29.5,-3.73,-5.04,,,,
2016,north-texas,North Texas,CUSA (West),61,5,8,.385,3,5,.375,24.8,32.6,-10.33,-4.56,,,,
2016,texas-el-paso,UTEP,CUSA (West),62,4,8,.333,2,6,.250,26.3,34.9,-13.33,-7.25,,,,
2016,rice,Rice,CUSA (West),63,3,9,.250,2,6,.250,25.3,37.3,-13.67,-4.34,,,,
2016,massachusetts,Massachusetts,Ind,64,2,10,.167,,,,23.3,35.5,-11.94,-1.44,,,,
2016,brigham-young,BYU,Ind,65,9,4,.692,,,,29.5,19.5,6.50,-1.19,,,,
2016,army,Army,Ind,66,8,5,.615,,,,29.9,19.8,-2.41,-6.41,,,,
2016,notre-dame,Notre Dame,Ind,67,4,8,.333,,,,30.9,27.8,4.27,3.94,10,10,,
2016,ohio,Ohio,MAC (East),68,8,6,.571,6,2,.750,26.3,22.6,-1.99,-5.56,,,,
2016,miami-oh,Miami (OH),MAC (East),69,6,7,.462,6,2,.750,22.8,23.8,-6.79,-5.87,,,,
2016,akron,Akron,MAC (East),70,5,7,.417,3,5,.375,27.4,33.6,-6.52,-3.93,,,,
2016,bowling-green-state,Bowling Green,MAC (East),71,4,8,.333,3,5,.375,24.8,38.3,-10.58,-4.08,,,,
2016,kent-state,Kent State,MAC (East),72,3,9,.250,2,6,.250,20.6,28.7,-9.12,-3.20,,,,
2016,buffalo,Buffalo,MAC (East),73,2,10,.167,1,7,.125,16.5,32.3,-18.24,-5.57,,,,
2016,toledo,Toledo,MAC (West),75,9,4,.692,6,2,.750,38.0,25.7,4.94,-3.75,,,,
2016,northern-illinois,Northern Illinois,MAC (West),76,5,7,.417,5,3,.625,30.5,30.3,-4.39,-3.64,,,,
2016,eastern-michigan,Eastern Michigan,MAC (West),77,7,6,.538,4,4,.500,29.6,29.8,-4.30,-4.07,,,,
2016,central-michigan,Central Michigan,MAC (West),78,6,7,.462,3,5,.375,26.3,30.3,-5.60,-2.91,,,,
2016,ball-state,Ball State,MAC (West),79,4,8,.333,1,7,.125,27.0,30.1,-9.11,-5.86,,,,
2016,boise-state,Boise State,MWC (Mountain),80,10,3,.769,6,2,.750,33.8,23.3,8.01,-0.91,,13,,
2016,new-mexico,New Mexico,MWC (Mountain),81,9,4,.692,6,2,.750,36.7,31.5,-1.21,-5.44,,,,
2016,wyoming,Wyoming,MWC (Mountain),82,8,6,.571,6,2,.750,35.9,34.1,1.37,-0.99,,,,
2016,air-force,Air Force,MWC (Mountain),83,10,3,.769,5,3,.625,35.2,26.2,4.09,-4.53,,,,
2016,colorado-state,Colorado State,MWC (Mountain),84,7,6,.538,5,3,.625,35.3,30.4,2.52,-1.17,,,,
2016,utah-state,Utah State,MWC (Mountain),85,3,9,.250,1,7,.125,23.9,29.3,-5.99,0.10,,,,
2016,hawaii,Hawaii,MWC (West),87,7,7,.500,4,4,.500,28.3,37.3,-6.44,-3.44,,,,
2016,nevada,Nevada,MWC (West),88,5,7,.417,3,5,.375,25.4,29.0,-9.70,-6.87,,,,
2016,nevada-las-vegas,Nevada-Las Vegas,MWC (West),89,4,8,.333,3,5,.375,31.6,36.8,-10.05,-3.80,,,,
2016,san-jose-state,San Jose State,MWC (West),90,4,8,.333,3,5,.375,24.4,34.7,-10.03,-2.61,,,,
2016,fresno-state,Fresno State,MWC (West),91,1,11,.083,0,8,.000,17.7,30.9,-14.26,-2.42,,,,
2016,washington,Washington,Pac-12 (North),92,12,2,.857,8,1,.889,41.8,17.7,19.98,3.98,14,4,4,
2016,washington-state,Washington State,Pac-12 (North),93,8,5,.615,7,2,.778,38.2,26.4,9.03,3.18,,20,,
2016,stanford,Stanford,Pac-12 (North),94,10,3,.769,6,3,.667,26.3,20.4,12.54,5.23,8,7,12,
2016,california,California,Pac-12 (North),95,5,7,.417,3,6,.333,37.1,42.6,2.42,5.92,,,,
2016,oregon-state,Oregon State,Pac-12 (North),96,4,8,.333,3,6,.333,26.2,30.5,1.53,5.11,,,,
2016,oregon,Oregon,Pac-12 (North),97,4,8,.333,2,7,.222,35.4,41.4,0.70,5.12,24,22,,
2016,southern-california,USC,Pac-12 (South),99,10,3,.769,7,2,.778,34.4,24.2,17.27,7.04,20,3,3,
2016,utah,Utah,Pac-12 (South),100,9,4,.692,5,4,.556,29.8,23.9,8.65,2.19,,11,23,
2016,arizona-state,Arizona State,Pac-12 (South),101,5,7,.417,2,7,.222,33.3,39.8,-2.60,3.90,,,,
2016,ucla,UCLA,Pac-12 (South),102,4,8,.333,2,7,.222,24.9,27.5,2.63,5.13,16,16,,
